mhtml_file	embed_html	video_size
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_axy6oN/embed.html	3.46 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_M3cV2W/embed.html	2.23 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_haUc7R/embed.html	2.35 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_xePSCW/embed.html	1.90 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_DlO9bx/embed.html	5.48 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_r1E6JA/embed.html	4.22 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/1.%20Sequencer%20Editor.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_r5tY72/embed.html	4.01 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/13.%20Dynamic%20Binding.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_PWHDAP/embed.html	2.32 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/13.%20Dynamic%20Binding.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_jfcJoJ/embed.html	3.25 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/13.%20Dynamic%20Binding.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_Ar6tjX/embed.html	3.05 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/13.%20Dynamic%20Binding.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_RUFVab/embed.html	4.92 MB
file:///A:/Projects/Docs/MPDDownloader/mhtml/13.%20Dynamic%20Binding.mhtml	https://dev.epicgames.com/community/api/cms/videos/V_RvJx7Z/embed.html	3.25 MB
